100 0
1100 0.02
2100 0.1
3100 0.21
4100 0.361
5100 0.56
6100 0.873
7100 1.301
8100 1.511
9100 2.026
10100 2.29
11100 2.995
12100 3.372
13100 3.841
14100 4.545
100 0
1100 0.03
2100 0.11
3100 0.23
4100 0.38
5100 0.581
6100 0.81
7100 1.097
8100 1.438
9100 1.819
10100 2.288
11100 2.678
12100 3.166
13100 3.721
14100 4.283
15100 4.943
16100 5.65
17100 6.36
18100 7.142
19100 7.9
20100 9.023
21100 11.033
22100 10.921
23100 11.848
24100 12.886
25100 14.23
26100 15.095
27100 16.252
28100 17.412
