100 0
1100 0
2100 0.01
3100 0.01
4100 0.01
5100 0.02
6100 0.03
7100 0.05
8100 0.061
9100 0.08
10100 0.1
11100 0.11
12100 0.13
13100 0.15
14100 0.171
15100 0.22
16100 0.2
17100 0.231
18100 0.28
19100 0.36
20100 0.39
21100 0.39
22100 0.34
23100 0.37
24100 0.39
25100 0.41
26100 0.461
27100 0.461
28100 0.521
29100 0.5
30100 0.52
31100 0.52
32100 0.58
33100 0.61
34100 0.65
35100 0.672
36100 0.701
37100 0.751
38100 0.78
39100 0.79
40100 0.801
41100 0.84
42100 0.866
43100 0.96
44100 0.96
45100 0.98
46100 1.01
47100 1.102
48100 1.151
49100 1.15
50100 1.24
51100 1.354
52100 1.411
53100 1.448
54100 1.501
55100 1.552
56100 1.57
57100 1.6
58100 1.652
59100 1.671
60100 1.74
61100 1.791
62100 1.881
63100 1.901
64100 1.971
65100 1.96
66100 2.054
67100 2.07
68100 2.082
69100 2.181
70100 2.141
71100 2.253
72100 2.288
73100 2.311
74100 2.32
75100 2.473
76100 2.481
77100 2.52
78100 2.481
79100 2.806
80100 2.681
81100 2.752
82100 2.701
83100 2.924
84100 2.934
85100 3.051
86100 2.992
