100 0
1100 0.03
2100 0.08
3100 0.17
4100 0.31
5100 0.471
6100 0.71
7100 1.082
8100 1.24
9100 1.53
10100 1.912
11100 2.341
12100 2.791
13100 3.231
14100 3.882
15100 4.442
16100 5.204
17100 5.891
18100 6.296
19100 7.013
20100 7.784
21100 8.608
22100 9.455
23100 10.327
24100 11.267
25100 12.229
26100 13.517
27100 14.589
28100 15.397
29100 16.806
30100 17.877
31100 19.073
32100 20.596
33100 21.602
34100 23.156
35100 24.704
36100 26.43
37100 27.741
38100 29.439
39100 30.956
40100 32.649
41100 33.985
42100 35.683
43100 37.177
44100 39.227
45100 41.367
46100 43.047
47100 45.488
48100 47.291
49100 50.131
50100 51.887
51100 53.674
52100 55.685
53100 57.664
54100 60.368
55100 62.251
